amount,x_center,page
0000135,193.80599999999998,2
14042023,322.86100000000005,2
1.726,000,440.607,2
17,24.074,2
04,36.584,2
1755058,215.29799999999994,2
16042023,322.86100000000005,2
1,045,449.367,2
17,24.074,2
04,36.584,2
1755058,215.29799999999994,2
16042023,322.86100000000005,2
5,500,449.367,2
18,24.074,2
04,36.584,2
0000134,206.30699999999996,2
17042023,322.86100000000005,2
1.536,000,440.607,2
19,24.074,2
04,36.584,2
48370261,207.80099999999996,2
19042023,322.86100000000005,2
96,140,551.7450000000001,2
19,24.074,2
04,36.584,2
48370261,207.80099999999996,2
19042023,322.86100000000005,2
0,380,449.367,2
19,24.074,2
04,36.584,2
48370261,207.80099999999996,2
19042023,322.86100000000005,2
2,000,449.367,2
19,24.074,2
04,36.584,2
10321091,213.29999999999995,2
20042023,322.86100000000005,2
457,508,549.2420000000001,2
19,24.074,2
04,36.584,2
1610222,213.80399999999995,2
20042023,322.86100000000005,2
489,983,549.2420000000001,2
19,24.074,2
04,36.584,2
1610222,209.295,2
14042023,322.86100000000005,2
0,893,449.367,2
20,24.074,2
04,36.584,2
0276990,213.80399999999995,2
24042023,322.86100000000005,2
970,017,549.2420000000001,2
20,24.074,2
04,36.584,2
2384169,197.81999999999994,2
24042023,322.86100000000005,2
970,017,444.36,2
20,24.074,2
04,36.584,2
0276990,209.295,2
17042023,322.86100000000005,2
0,893,449.367,2
24,24.074,2
04,36.584,2
46700553,213.29999999999995,2
25042023,322.86100000000005,2
2.124,085,545.489,2
24,24.074,2
04,36.584,2
1610226,213.80399999999995,2
25042023,322.86100000000005,2
4.578,998,545.489,2
24,24.074,2
04,36.584,2
1610226,209.295,2
18042023,322.86100000000005,2
1,785,449.367,2
25,24.074,2
04,36.584,2
0000139,206.30699999999996,2
24042023,322.86100000000005,2
2.531,430,440.607,2
26,24.074,2
04,36.584,2
14605520,207.80099999999996,2
26042023,322.86100000000005,2
0,380,449.367,2
26,24.074,2
04,36.584,2
14605520,207.80099999999996,2
26042023,322.86100000000005,2
2,000,449.367,2
26,24.074,2
04,36.584,2
14605520,207.80099999999996,2
26042023,322.86100000000005,2
78,200,551.7450000000001,2
27,24.074,2
04,36.584,2
2384169,204.30899999999997,2
27042023,322.86100000000005,2
0,760,449.367,2
27,24.074,2
04,36.584,2
2384169,204.30899999999997,2
27042023,322.86100000000005,2
4,000,449.367,2
27,24.074,2
04,36.584,2
2384169,191.81699999999995,2
24042023,322.86100000000005,2
970,017,549.2420000000001,2
27,24.074,2
04,36.584,2
2384169,191.81699999999995,2
24042023,322.86100000000005,2
970,017,444.36,2
28,24.074,2
04,36.584,2
20648257,207.80099999999996,2
28042023,322.86100000000005,2
2.079,990,545.489,2
28,24.074,2
04,36.584,2
20648257,207.80099999999996,2
28042023,322.86100000000005,2
